datetime,from,to,distance_m,duration_s
2024-01-31 05:10:01.753973,Krankenhaus,Höhle,1902,176
2024-01-31 05:10:01.753973,Krankenhaus,Krumpaul,1560,145
2024-01-31 05:10:01.596482,Höhle,Krankenhaus,1905,183
2024-01-31 05:10:01.596482,Höhle,Krumpaul,2154,181
2024-01-31 05:00:02.240803,Krumpaul,Höhle,2174,184
2024-01-31 05:00:02.240803,Krumpaul,Krankenhaus,1539,147
2024-01-31 05:00:02.082493,Krankenhaus,Höhle,1902,176
2024-01-31 05:00:02.082493,Krankenhaus,Krumpaul,1560,145
2024-01-31 05:00:01.847052,Höhle,Krankenhaus,1905,183
2024-01-31 05:00:01.847052,Höhle,Krumpaul,2154,181
2024-01-30 21:50:02.537997,Krumpaul,Höhle,2174,184
2024-01-30 21:50:02.537997,Krumpaul,Krankenhaus,1539,147
2024-01-30 21:50:02.362753,Krankenhaus,Höhle,1902,176
2024-01-30 21:50:02.362753,Krankenhaus,Krumpaul,1560,145
2024-01-30 21:50:02.152717,Höhle,Krankenhaus,1905,183
2024-01-30 21:50:02.152717,Höhle,Krumpaul,2154,181
2024-01-30 21:40:02.224617,Krumpaul,Höhle,2174,184
2024-01-30 21:40:02.224617,Krumpaul,Krankenhaus,1539,147
2024-01-30 21:40:02.10902,Krankenhaus,Höhle,1902,176
2024-01-30 21:40:02.10902,Krankenhaus,Krumpaul,1560,145
2024-01-30 21:40:01.871343,Höhle,Krankenhaus,1905,183
2024-01-30 21:40:01.871343,Höhle,Krumpaul,2154,181
2024-01-30 21:30:01.607686,Krumpaul,Höhle,2174,184
2024-01-30 21:30:01.607686,Krumpaul,Krankenhaus,1539,147
2024-01-30 21:30:01.436867,Krankenhaus,Höhle,1902,176
2024-01-30 21:30:01.436867,Krankenhaus,Krumpaul,1560,145
2024-01-30 21:30:01.196219,Höhle,Krankenhaus,1905,183
2024-01-30 21:30:01.196219,Höhle,Krumpaul,2154,181
2024-01-30 21:20:01.990015,Krumpaul,Höhle,2174,184
2024-01-30 21:20:01.990015,Krumpaul,Krankenhaus,1539,147
2024-01-30 21:20:01.79077,Krankenhaus,Höhle,1902,176
2024-01-30 21:20:01.79077,Krankenhaus,Krumpaul,1560,145
2024-01-30 21:20:01.5829,Höhle,Krankenhaus,1905,183
2024-01-30 21:20:01.5829,Höhle,Krumpaul,2154,181
