from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Krumpaul,Krankenhaus,1539,147,150,2024-01-23T06:40:01.429076000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,174,2024-01-23T06:40:01.286848000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,142,2024-01-23T06:40:01.286848000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,188,2024-01-23T06:40:01.107999000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,185,2024-01-23T06:40:01.107999000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,182,2024-01-23T06:30:01.736786000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,144,2024-01-23T06:30:01.736786000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,168,2024-01-23T06:30:01.618655000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,137,2024-01-23T06:30:01.618655000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,180,2024-01-23T06:30:01.426713000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,179,2024-01-23T06:30:01.426713000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,179,2024-01-23T06:20:02.155132000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,140,2024-01-23T06:20:02.155132000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,167,2024-01-23T06:20:02.015693000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,135,2024-01-23T06:20:02.015693000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,175,2024-01-23T06:20:01.840514000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,175,2024-01-23T06:20:01.840514000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,177,2024-01-23T06:10:01.437048000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,138,2024-01-23T06:10:01.437048000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,162,2024-01-23T06:10:01.277042000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,133,2024-01-23T06:10:01.277042000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,172,2024-01-23T06:10:01.100043000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,173,2024-01-23T06:10:01.100043000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,169,2024-01-23T06:00:01.921581000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,132,2024-01-23T06:00:01.921581000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,157,2024-01-23T06:00:01.765742000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,131,2024-01-23T06:00:01.765742000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,168,2024-01-23T06:00:01.562722000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,169,2024-01-23T06:00:01.562722000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,156,2024-01-23T05:30:02.368943000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,130,2024-01-23T05:30:02.368943000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,149,2024-01-23T05:30:02.246415000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,129,2024-01-23T05:30:02.246415000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,169,2024-01-23T05:30:02.069102000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,165,2024-01-23T05:30:02.069102000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,153,2024-01-23T05:20:02.072867000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,127,2024-01-23T05:20:02.072867000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,147,2024-01-23T05:20:01.929575000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,126,2024-01-23T05:20:01.929575000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,164,2024-01-23T05:20:01.740019000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,161,2024-01-23T05:20:01.740019000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,154,2024-01-23T05:13:30.771398000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,127,2024-01-23T05:13:30.771398000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,147,2024-01-23T05:13:30.649675000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,126,2024-01-23T05:13:30.649675000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,161,2024-01-23T05:13:30.498176000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,161,2024-01-23T05:13:30.498176000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,155,2024-01-23T05:00:04.686323000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,129,2024-01-23T05:00:04.686323000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,151,2024-01-23T05:00:04.541203000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,130,2024-01-23T05:00:04.541203000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,163,2024-01-23T05:00:04.302053000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,163,2024-01-23T05:00:04.302053000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,162,2024-01-22T21:40:01.621276000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,127,2024-01-22T21:40:01.621276000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,149,2024-01-22T21:40:01.454458000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,127,2024-01-22T21:40:01.454458000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,161,2024-01-22T21:40:01.245341000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,167,2024-01-22T21:40:01.245341000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,167,2024-01-22T21:30:02.373394000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,132,2024-01-22T21:30:02.373394000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,148,2024-01-22T21:30:02.233064000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,123,2024-01-22T21:30:02.233064000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,159,2024-01-22T21:30:02.001821000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,165,2024-01-22T21:30:02.001821000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,171,2024-01-22T21:20:01.816478000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,132,2024-01-22T21:20:01.816478000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,149,2024-01-22T21:20:01.661828000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,122,2024-01-22T21:20:01.661828000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,159,2024-01-22T21:20:01.483858000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,166,2024-01-22T21:20:01.483858000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,169,2024-01-22T21:10:01.707643000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,130,2024-01-22T21:10:01.707643000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,149,2024-01-22T21:10:01.561865000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,126,2024-01-22T21:10:01.561865000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,159,2024-01-22T21:10:01.349012000,Höhle -> Krankenhaus
