from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Krankenhaus,Krumpaul,1560,143,146,2023-12-20T18:30:02.434296000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,181,2023-12-20T18:30:02.434296000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,146,2023-12-20T18:30:02.434296000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,187,2023-12-21T13:50:01.823621000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,184,2023-12-21T13:50:01.823621000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,180,2023-12-21T13:50:01.823621000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,157,2023-12-21T13:50:01.823621000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,198,2023-12-21T13:50:01.823621000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,164,2023-12-21T13:50:01.823621000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,185,2023-12-25T15:30:01.747602000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,191,2023-12-25T15:30:01.747602000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,173,2023-12-25T15:30:01.747602000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,152,2023-12-25T15:30:01.747602000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,189,2023-12-25T15:30:01.747602000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,153,2023-12-25T15:30:01.747602000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,168,2023-12-25T10:08:54.244629000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,173,2023-12-25T10:08:54.244629000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,166,2023-12-25T10:08:54.244629000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,143,2023-12-25T10:08:54.244629000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,179,2023-12-25T10:08:54.244629000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,146,2023-12-25T10:08:54.244629000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,177,2023-12-22T17:50:01.756231000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,179,2023-12-22T17:50:01.756231000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,179,2023-12-22T17:50:01.756231000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,148,2023-12-22T17:50:01.756231000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,191,2023-12-22T17:50:01.756231000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,152,2023-12-22T17:50:01.756231000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,197,2023-12-20T15:01:06.300133000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,194,2023-12-20T15:01:06.300133000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,199,2023-12-20T15:01:06.300133000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,164,2023-12-20T15:01:06.300133000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,221,2023-12-20T15:01:06.300133000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,177,2023-12-20T15:01:06.300133000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,164,2023-12-24T11:10:01.878241000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,171,2023-12-24T11:10:01.878241000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,158,2023-12-24T11:10:01.878241000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,133,2023-12-24T11:10:01.878241000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,170,2023-12-24T11:10:01.878241000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,132,2023-12-24T11:10:01.878241000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,187,2023-12-22T09:40:02.453527000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,186,2023-12-22T09:40:02.453527000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,180,2023-12-22T09:40:02.453527000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,154,2023-12-22T09:40:02.453527000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,196,2023-12-22T09:40:02.453527000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,162,2023-12-22T09:40:02.453527000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,166,2023-12-24T18:50:02.636783000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,170,2023-12-24T18:50:02.636783000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,167,2023-12-24T18:50:02.636783000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,137,2023-12-24T18:50:02.636783000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,174,2023-12-24T18:50:02.636783000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,134,2023-12-24T18:50:02.636783000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,159,2023-12-23T07:40:02.844325000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,163,2023-12-23T07:40:02.844325000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,167,2023-12-23T07:40:02.844325000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,136,2023-12-23T07:40:02.844325000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,176,2023-12-23T07:40:02.844325000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,135,2023-12-23T07:40:02.844325000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,166,2023-12-24T10:36:35.627403000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,173,2023-12-24T10:36:35.627403000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,160,2023-12-24T10:36:35.627403000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,132,2023-12-24T10:36:35.627403000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,169,2023-12-24T10:36:35.627403000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,131,2023-12-24T10:36:35.627403000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,194,2023-12-22T08:13:40.071396000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,188,2023-12-22T08:13:40.071396000,Höhle -> Krumpaul
